"Borough","Year","TotalRentStabUnits","yoy_change","pct_change_2007_2020","pct_change_2007_2023"
"Bronx",2007,129380,NA,NA,NA
"Bronx",2008,129185,-0.150718812799505,NA,NA
"Bronx",2009,126087,-2.39811123582459,NA,NA
"Bronx",2010,126391,0.241103365136771,NA,NA
"Bronx",2011,128572,1.7255975504585,NA,NA
"Bronx",2012,130212,1.27554988644495,NA,NA
"Bronx",2013,129257,-0.733419346911191,NA,NA
"Bronx",2014,128386,-0.673851319464323,NA,NA
"Bronx",2015,125637,-2.14119919617404,NA,NA
"Bronx",2016,124528,-0.882701751872458,NA,NA
"Bronx",2017,125738,0.971669022227933,NA,NA
"Bronx",2018,128499,2.19583578552228,NA,NA
"Bronx",2019,123569,-3.83660573234033,NA,NA
"Bronx",2020,116010,-6.11723004960791,-10.3339001391251,NA
"Bronx",2021,115623,-0.333591931730023,NA,NA
"Bronx",2022,115459,-0.141840291291525,NA,NA
"Bronx",2023,130809,13.2947626430161,NA,1.10449837687432
"Brooklyn",2007,179923,NA,NA,NA
"Brooklyn",2008,180860,0.520778332953541,NA,NA
"Brooklyn",2009,172375,-4.69147406834015,NA,NA
"Brooklyn",2010,172557,0.105583756345178,NA,NA
"Brooklyn",2011,173966,0.816541780397202,NA,NA
"Brooklyn",2012,178022,2.33149006127634,NA,NA
"Brooklyn",2013,177467,-0.311759220770467,NA,NA
"Brooklyn",2014,175592,-1.05653445429291,NA,NA
"Brooklyn",2015,171357,-2.41184108615427,NA,NA
"Brooklyn",2016,170493,-0.504210507887043,NA,NA
"Brooklyn",2017,172102,0.943733760330336,NA,NA
"Brooklyn",2018,178095,3.48223727789334,NA,NA
"Brooklyn",2019,166956,-6.25452707824476,NA,NA
"Brooklyn",2020,140413,-15.8982007235439,-21.9593937406557,NA
"Brooklyn",2021,142181,1.25914267197482,NA,NA
"Brooklyn",2022,133961,-5.78136319198768,NA,NA
"Brooklyn",2023,162383,21.2166227484119,NA,-9.74861468517088
"Manhattan",2007,186302,NA,NA,NA
"Manhattan",2008,185111,-0.639284602419727,NA,NA
"Manhattan",2009,173545,-6.24814300608824,NA,NA
"Manhattan",2010,168623,-2.83615200668415,NA,NA
"Manhattan",2011,169170,0.324392283377712,NA,NA
"Manhattan",2012,171637,1.45829638824851,NA,NA
"Manhattan",2013,169481,-1.25613941050007,NA,NA
"Manhattan",2014,164864,-2.72419917276863,NA,NA
"Manhattan",2015,158929,-3.59993691770186,NA,NA
"Manhattan",2016,157018,-1.20242372380119,NA,NA
"Manhattan",2017,157208,0.121005235068591,NA,NA
"Manhattan",2018,157330,0.077604193170831,NA,NA
"Manhattan",2019,152881,-2.82781414860484,NA,NA
"Manhattan",2020,145209,-5.01828219333992,-22.0571974535968,NA
"Manhattan",2021,145243,0.0234145266477973,NA,NA
"Manhattan",2022,139407,-4.01809381519247,NA,NA
"Manhattan",2023,151416,8.61434504723579,NA,-18.7255101931273
"Queens",2007,127349,NA,NA,NA
"Queens",2008,127453,0.081665344839771,NA,NA
"Queens",2009,124092,-2.63705052058406,NA,NA
"Queens",2010,122513,-1.27244302614189,NA,NA
"Queens",2011,121993,-0.424444752801743,NA,NA
"Queens",2012,124391,1.96568655578599,NA,NA
"Queens",2013,123135,-1.00971935268629,NA,NA
"Queens",2014,122377,-0.615584521054128,NA,NA
"Queens",2015,120072,-1.88352386477851,NA,NA
"Queens",2016,120596,0.436404823772403,NA,NA
"Queens",2017,122454,1.54068128296129,NA,NA
"Queens",2018,123952,1.22331651068973,NA,NA
"Queens",2019,123302,-0.52439654059636,NA,NA
"Queens",2020,108626,-11.9024833336037,-14.7021178022599,NA
"Queens",2021,109315,0.634286450757645,NA,NA
"Queens",2022,104069,-4.79897543795454,NA,NA
"Queens",2023,117030,12.4542370926981,NA,-8.10292974424613
"Staten Island",2007,5048,NA,NA,NA
"Staten Island",2008,5027,-0.416006339144215,NA,NA
"Staten Island",2009,4705,-6.4054107817784,NA,NA
"Staten Island",2010,4994,6.14240170031881,NA,NA
"Staten Island",2011,5038,0.881057268722467,NA,NA
"Staten Island",2012,5118,1.58793171893609,NA,NA
"Staten Island",2013,5130,0.234466588511137,NA,NA
"Staten Island",2014,5102,-0.545808966861599,NA,NA
"Staten Island",2015,5041,-1.19560956487652,NA,NA
"Staten Island",2016,5077,0.71414401904384,NA,NA
"Staten Island",2017,5672,11.7195194012212,NA,NA
"Staten Island",2018,5714,0.740479548660085,NA,NA
"Staten Island",2019,5661,-0.927546377318866,NA,NA
"Staten Island",2020,5418,-4.29252782193959,7.32963549920761,NA
"Staten Island",2021,5540,2.25175341454411,NA,NA
"Staten Island",2022,4791,-13.5198555956679,NA,NA
"Staten Island",2023,467,-90.2525568774786,NA,-90.7488114104596
